INDEX,INCOME,MARITAL STATUS,SEX,EDUCATION,JOB,TRAVEL TIME,USE,MILES CLOCKED,CAR TYPE,CAR AGE,CITY,POSTAL CODE
18,137102.7342,No,F,High School,Manager,28.80035701,Private,19510.0,Sports Car,15.0,Texas,42420.0
19,102393.1799,No,M,Bachelors,Professional,24.86796984,Private,1500.0,Minivan,11.0,Texas,42420.0
20,40656.44899,Yes,F,High School,Blue Collar,57.09137453,Private,9170.0,Sports Car,7.0,Houston,42420.0
21,50025.16216952308,Yes,F,Bachelors,Blue Collar,34.282098449290075,Commercial,5200.0,SUV,3.0,Texas,42420.0
22,31773.10396,Yes,M,High School,Clerical,14.45932328,Commercial,9640.0,Pickup,1.0,Texas,42420.0
23,38035.58347,Yes,F,High School,Blue Collar,32.18028505,Commercial,13140.0,SUV,1.0,Texas,42420.0
24,0.0,Yes,F,High School,Home Maker,24.52000126,Private,11740.0,SUV,1.0,Texas,42420.0
25,0.0,No,M,High School,Student,13.66285957,Commercial,15090.0,Minivan,5.0,Philadelphia,84057.0
26,50025.16216952308,Yes,F,Bachelors,Student,48.14333635,Commercial,12850.0,SUV,6.0,Los Angeles,90049.0
27,44705.21281,Yes,F,Bachelors,Professional,50.0889763,Private,12840.0,SUV,10.0,Los Angeles,90049.0
28,31738.35627,Yes,M,High School,Blue Collar,23.28684117,Commercial,13591.978417266188,SUV,1.0,Los Angeles,90049.0
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900.0,Pickup,5.0,Los Angeles,90049.0
30,53244.41283,No,M,Bachelors,Professional,27.55140242,Private,20920.0,Van,8.0,Los Angeles,90049.0
31,37579.71165,No,F,High School,Clerical,35.81813031,Private,5260.0,SUV,1.0,Los Angeles,90049.0
32,23344.16706,Yes,M,High School,Blue Collar,9.92626961,Private,7930.0,Pickup,1.0,Los Angeles,90049.0
33,110386.4044,Yes,M,Masters,Blue Collar,21.15953978,Commercial,16640.0,Van,14.0,Los Angeles,90049.0
34,76158.64499,No,F,Bachelors,Professional,52.42306084,Private,19750.0,SUV,6.265017667844523,Los Angeles,90049.0
35,0.0,No,M,High School,Blue Collar,46.93284039,Commercial,5700.0,Pickup,1.0,Los Angeles,90049.0
36,49848.95817,No,F,Masters,Lawyer,35.02097056,Private,13130.0,SUV,20.0,Los Angeles,90049.0
37,12054.36967,Yes,F,High School,Student,28.06624321,Commercial,15760.0,Pickup,1.0,Los Angeles,90049.0
38,33283.09242,Yes,M,Bachelors,Blue Collar,37.1604757,Commercial,7690.0,Pickup,16.0,Los Angeles,90049.0
39,136343.7947,No,F,PhD,Doctor,45.25904589,Private,13160.0,Sports Car,17.0,Los Angeles,90049.0
40,32936.11043,No,F,High School,Clerical,12.40616516,Private,1500.0,SUV,7.0,Los Angeles,90049.0
41,0.0,No,M,High School,Home Maker,36.22025164,Private,16510.0,Minivan,1.0,Los Angeles,90049.0
42,22181.48424,No,F,High School,Clerical,23.82346578,Private,17880.0,Sports Car,1.0,Los Angeles,90049.0
43,84345.18012,Yes,F,Bachelors,Manager,35.8243038,Private,13591.978417266188,SUV,5.0,Los Angeles,90049.0
44,43173.63322,No,M,High School,Blue Collar,48.4305554,Commercial,10020.0,Pickup,1.0,Los Angeles,90049.0
45,30652.9423,No,F,High School,Clerical,41.19071361,Private,12930.0,Sports Car,7.0,New Albany,47150.0
46,50025.16216952308,Yes,F,High School,Blue Collar,34.282098449290075,Private,1500.0,SUV,10.0,New Albany,47150.0
47,111268.3117,No,F,High School,Lawyer,34.282098449290075,Private,24600.0,Van,10.0,New Albany,47150.0
48,49703.42492,No,M,High School,Blue Collar,34.282098449290075,Commercial,13591.978417266188,Panel Truck,20.0,New Albany,47150.0
49,25288.54263,Yes,F,High School,Home Maker,30.84344493,Private,13850.0,SUV,7.0,New Albany,47150.0
50,30955.01786,No,F,High School,Clerical,9.269535821,Private,7800.0,SUV,8.0,New Albany,47150.0
51,61369.9036,No,M,Masters,Manager,6.448685045,Private,21770.0,Van,12.0,New Albany,47150.0
52,44781.81586,No,F,High School,Clerical,82.61145278,Private,30260.0,SUV,9.0,New Albany,47150.0
53,30085.32061,Yes,M,High School,Clerical,43.69786089,Private,7200.0,Pickup,8.0,New Albany,47150.0
54,32317.31421,No,M,High School,Clerical,68.37962907,Private,22450.0,Minivan,1.0,New Albany,47150.0
55,21281.93453,No,M,High School,Blue Collar,39.71076852,Private,18150.0,Van,6.265017667844523,New Albany,47150.0
56,61521.48327,Yes,F,Masters,Lawyer,40.50100216,Commercial,7650.0,Sports Car,9.0,New Albany,47150.0
57,105554.3537,No,M,Masters,Lawyer,75.2429745,Private,5300.0,Minivan,20.0,New Albany,47150.0
58,69290.2134,No,M,Masters,Blue Collar,30.35428387,Private,13591.978417266188,Panel Truck,11.0,New Albany,47150.0
59,2954.141221,No,F,High School,Clerical,20.64757595,Private,3100.0,Sports Car,5.0,New Albany,47150.0
60,2656.766602,Yes,F,High School,Home Maker,63.34254361,Private,10480.0,Sports Car,11.0,New Albany,47150.0
61,50025.16216952308,No,F,High School,Clerical,19.42590174,Private,11650.0,SUV,1.0,New Albany,47150.0
62,68090.40983,No,F,Bachelors,Blue Collar,44.83097562,Commercial,11750.0,Minivan,12.0,New York City,12180.0
63,25031.76105,No,F,High School,Clerical,34.08976118,Commercial,6100.0,Pickup,1.0,New York City,12180.0
64,50025.16216952308,No,M,Masters,Blue Collar,51.04542646,Commercial,23250.0,Panel Truck,18.0,New York City,12180.0
65,51544.43316,No,F,High School,Blue Collar,44.03149922,Commercial,20630.0,SUV,1.0,New York City,12180.0
66,73842.01449,No,F,High School,Blue Collar,24.50890014,Commercial,22340.0,Sports Car,1.0,New York City,12180.0
67,0.0,No,M,High School,Student,32.52587199,Private,13591.978417266188,Pickup,1.0,New York City,12180.0
68,109957.3023,Yes,F,Masters,Blue Collar,49.81881515,Private,29470.0,Sports Car,18.0,New York City,12180.0
69,33712.64957,Yes,F,Bachelors,Blue Collar,25.89368779,Commercial,23470.0,Sports Car,15.0,New York City,12180.0
70,20891.37315,Yes,F,High School,Blue Collar,39.46701804,Commercial,5100.0,SUV,7.0,New York City,12180.0
71,17492.76645,No,F,High School,Blue Collar,51.79297955,Private,19340.0,Minivan,1.0,New York City,12180.0
72,50025.16216952308,Yes,M,Masters,Lawyer,55.31937696,Private,6960.0,SUV,14.0,New York City,12180.0
73,60049.83017,No,F,High School,Clerical,30.74937401,Private,11480.0,Minivan,1.0,New York City,12180.0
74,50025.16216952308,No,F,High School,Blue Collar,15.62481718,Private,22920.0,Sports Car,10.0,New York City,12180.0
75,4478.341531,No,F,High School,Student,7.472455404,Private,6780.0,SUV,8.0,New York City,12180.0
76,62036.46367,Yes,M,High School,Blue Collar,5.0,Commercial,13591.978417266188,Van,1.0,New York City,12180.0
77,40528.15278,No,F,High School,Blue Collar,53.51257132,Commercial,11950.0,Sports Car,6.0,New York City,12180.0
78,75045.62077,Yes,M,High School,Blue Collar,34.282098449290075,Private,9000.0,Pickup,10.0,New York City,12180.0
79,39599.57172,No,F,High School,Clerical,36.85122135,Private,5460.0,Sports Car,1.0,New York City,12180.0
80,75431.95723,No,F,Bachelors,Blue Collar,50.69083062,Private,16260.0,SUV,13.0,New York City,12180.0
81,0.0,No,F,High School,Home Maker,40.9560327,Private,14240.0,SUV,1.0,New York City,12180.0
82,0.0,Yes,F,High School,Home Maker,10.70078807,Private,8560.0,Sports Car,14.0,New York City,12180.0
83,10616.87423,Yes,M,High School,Student,13.74904287,Private,7960.0,Pickup,9.0,New York City,12180.0
84,140765.7553,No,M,Masters,Blue Collar,34.282098449290075,Private,29220.0,Panel Truck,13.0,New York City,12180.0
85,34210.31233,Yes,M,High School,Clerical,34.0324406,Private,12880.0,Minivan,1.0,San Francisco,55106.0
86,31176.83129,No,M,High School,Professional,40.73448114,Commercial,25420.0,Panel Truck,1.0,San Francisco,55106.0
87,65702.14547,No,F,Masters,Blue Collar,26.82362994,Private,15820.0,SUV,1.0,San Francisco,55106.0
88,51869.71691,No,M,High School,Blue Collar,35.57397154,Commercial,24520.0,Panel Truck,1.0,San Francisco,55106.0
89,50025.16216952308,No,F,Masters,Lawyer,13.143433,Private,18850.0,Minivan,11.0,San Francisco,55106.0
90,0.0,No,F,High School,Student,18.46276367,Private,1500.0,SUV,1.0,San Francisco,55106.0
91,28591.85173,Yes,M,High School,Clerical,34.282098449290075,Commercial,9260.0,Pickup,1.0,San Francisco,55106.0
92,64766.06512,Yes,F,High School,Blue Collar,20.38198439,Commercial,11840.0,SUV,1.0,San Francisco,55106.0
93,62426.39554,Yes,F,Bachelors,Manager,34.282098449290075,Private,11440.0,SUV,6.265017667844523,San Francisco,55106.0
94,40094.81041,No,M,High School,Blue Collar,37.88679535,Commercial,22720.0,Panel Truck,9.0,San Francisco,55106.0
95,50025.16216952308,Yes,F,High School,Blue Collar,29.80314055,Private,7420.0,Sports Car,1.0,San Francisco,55106.0
96,50025.16216952308,Yes,F,High School,Blue Collar,29.8097693,Commercial,21840.0,Sports Car,5.0,San Francisco,55106.0
97,50025.16216952308,Yes,M,High School,Blue Collar,63.26903238,Commercial,6400.0,Pickup,6.0,San Francisco,55106.0
98,50025.16216952308,Yes,F,High School,Student,27.49072358,Private,22260.0,Pickup,4.0,San Francisco,55106.0
99,57062.78859,No,F,Masters,Professional,45.78509389,Private,16250.0,Sports Car,19.0,San Francisco,55106.0
100,50025.16216952308,No,F,Masters,Blue Collar,42.37646993,Commercial,24410.0,Pickup,18.0,San Francisco,55106.0
101,27624.53579,Yes,F,High School,Clerical,34.282098449290075,Private,18960.0,Sports Car,1.0,San Francisco,55106.0
102,28326.29482,Yes,F,High School,Blue Collar,36.97470077,Commercial,26280.0,Pickup,8.0,San Francisco,55106.0
103,50025.16216952308,Yes,F,High School,Manager,19.37071849,Private,14360.0,SUV,11.0,San Francisco,55106.0
104,64487.8935,Yes,M,High School,Blue Collar,37.46849501,Commercial,21820.0,Van,7.0,San Francisco,55106.0
105,31675.21527,No,F,High School,Blue Collar,24.88144083,Commercial,9130.0,Sports Car,1.0,San Francisco,55106.0
106,66367.40477,Yes,F,High School,Blue Collar,35.17275027,Private,5560.0,Sports Car,1.0,San Francisco,55106.0
107,29523.52225,Yes,F,High School,Blue Collar,52.0080434,Private,14250.0,SUV,7.0,San Francisco,55106.0
108,50025.16216952308,No,M,Masters,Blue Collar,28.17427669,Private,19530.0,Van,17.0,San Francisco,55106.0
109,94591.18428,No,M,High School,Blue Collar,20.82167317,Commercial,17470.0,Van,8.0,San Francisco,55106.0
110,248.614532,No,F,High School,Student,30.16813294,Private,10590.0,SUV,11.0,San Francisco,55106.0
111,24861.5349,No,F,Bachelors,Blue Collar,34.282098449290075,Private,7790.0,Sports Car,10.0,San Francisco,55106.0
112,0.0,Yes,F,High School,Home Maker,12.02530439,Private,6500.0,Sports Car,6.265017667844523,Houston,61701.0
113,50025.16216952308,Yes,F,High School,Professional,34.51305459,Private,9170.0,SUV,8.0,Houston,61701.0
114,22623.01291,Yes,M,High School,Blue Collar,34.282098449290075,Private,8060.0,Pickup,1.0,Houston,61701.0
115,40759.5277,No,M,High School,Professional,34.282098449290075,Private,11880.0,Pickup,8.0,Houston,61701.0
116,69793.55832,No,F,Bachelors,Professional,34.282098449290075,Private,14660.0,SUV,6.0,Houston,61701.0
117,25544.2197,No,F,High School,Blue Collar,34.282098449290075,Private,4050.0,Sports Car,1.0,Houston,61701.0
118,85408.05815,Yes,F,High School,Blue Collar,32.31676807,Private,20170.0,Minivan,8.0,Houston,61701.0
119,3864.526575,No,F,High School,Home Maker,26.64660882,Private,16600.0,SUV,1.0,Houston,61701.0
120,65298.10939,Yes,F,High School,Blue Collar,5.0,Private,8030.0,SUV,1.0,Houston,61701.0
121,50025.16216952308,No,F,Masters,Lawyer,51.40503103,Private,12880.0,Minivan,6.265017667844523,Houston,61701.0
122,50138.52192,Yes,F,High School,Blue Collar,21.64869735,Private,9210.0,SUV,1.0,Houston,61701.0
123,92543.42733,Yes,M,Masters,Blue Collar,51.6949148,Commercial,25250.0,Panel Truck,9.0,Houston,61701.0
124,50025.16216952308,Yes,M,High School,Clerical,44.22753904,Commercial,11250.0,Pickup,11.0,Houston,61701.0
125,60972.96216,No,F,Bachelors,Blue Collar,55.69961717,Private,5800.0,Sports Car,8.0,Houston,61701.0
126,85730.51809,No,F,Bachelors,Blue Collar,13.40621354,Commercial,21660.0,Pickup,3.0,Houston,61701.0
127,0.0,Yes,M,High School,Student,35.26903717,Commercial,11610.0,Pickup,1.0,Houston,61701.0
128,14166.18683,No,F,High School,Student,34.282098449290075,Private,23280.0,Minivan,5.0,Houston,61701.0
129,0.0,Yes,F,High School,Student,47.99664159,Private,7740.0,Sports Car,1.0,Houston,61701.0
130,0.0,Yes,F,High School,Home Maker,28.21485235,Private,5100.0,Minivan,9.0,Houston,61701.0
131,0.0,No,M,High School,Student,28.85954957,Private,9240.0,Pickup,1.0,Houston,61701.0
132,91221.1218,Yes,F,Bachelors,Blue Collar,34.282098449290075,Commercial,1500.0,Sports Car,7.0,Houston,61701.0
133,146338.4425,No,M,Masters,Blue Collar,21.2987556,Commercial,22620.0,Panel Truck,10.0,Houston,61701.0
134,47235.48762,No,M,High School,Blue Collar,26.5337257,Private,10920.0,Pickup,1.0,Houston,61701.0
135,7302.3125,No,F,High School,Student,27.48940381,Private,7030.0,SUV,1.0,Houston,61701.0
136,37991.26687,No,F,High School,Manager,34.282098449290075,Private,14000.0,Sports Car,1.0,Houston,61701.0
137,133335.0807,No,F,Bachelors,Blue Collar,15.39811427,Commercial,21740.0,SUV,13.0,Houston,61701.0
138,3271.592449,Yes,M,High School,Student,34.282098449290075,Private,7200.0,Minivan,5.0,Houston,61701.0
139,58832.76225,Yes,M,High School,Blue Collar,40.93108005,Commercial,17680.0,Van,10.0,Houston,61701.0
140,63889.85805,Yes,F,Masters,Lawyer,34.282098449290075,Private,9100.0,Sports Car,6.0,Houston,61701.0
141,5252.670336,No,F,High School,Student,23.21106213,Commercial,23600.0,Pickup,1.0,Houston,61701.0
142,50025.16216952308,No,F,Bachelors,Clerical,34.282098449290075,Private,7080.0,Sports Car,11.0,Houston,61701.0
143,200771.9243,No,F,PhD,Doctor,34.282098449290075,Private,9270.0,SUV,6.265017667844523,Houston,61701.0
144,108743.6076,No,M,Masters,Blue Collar,34.282098449290075,Commercial,5430.0,Pickup,6.265017667844523,Houston,61701.0
145,48374.40295,Yes,M,High School,Blue Collar,47.86751636,Private,13591.978417266188,Panel Truck,8.0,Houston,61701.0
146,50025.16216952308,No,F,High School,Blue Collar,35.45421765,Commercial,13591.978417266188,Pickup,4.0,Houston,61701.0
147,85429.5081,No,F,Bachelors,Blue Collar,13.9205626,Commercial,13591.978417266188,SUV,1.0,Houston,61701.0
148,81084.16305,No,F,Bachelors,Professional,41.52943692,Private,13591.978417266188,Sports Car,9.0,Houston,61701.0
149,204372.9551,Yes,M,High School,Blue Collar,34.282098449290075,Commercial,5100.0,Pickup,20.0,Houston,61701.0
150,33994.88198,Yes,M,High School,Blue Collar,41.73994653,Private,7700.0,SUV,1.0,Houston,61701.0
151,39405.03083,Yes,M,High School,Blue Collar,28.49023537,Commercial,10940.0,Pickup,14.0,Seattle,78207.0
152,155409.6551,Yes,M,Bachelors,Manager,40.12660307,Commercial,33330.0,Panel Truck,10.0,Seattle,78207.0
153,94565.86351,No,F,Masters,Blue Collar,34.282098449290075,Private,3900.0,SUV,16.0,Seattle,78207.0
154,26874.78534,No,M,High School,Clerical,18.28520724,Commercial,10450.0,Pickup,6.0,Seattle,78207.0
155,99268.97416,No,M,Bachelors,Professional,34.28536254,Commercial,25910.0,Panel Truck,10.0,Seattle,78207.0
156,31407.30199,No,F,High School,Blue Collar,42.49201622,Commercial,11890.0,SUV,1.0,Seattle,78207.0
157,24546.04016,No,F,High School,Professional,38.6477761,Private,11100.0,SUV,9.0,Seattle,78207.0
158,53356.8697,Yes,M,High School,Professional,17.87372296,Commercial,26810.0,Panel Truck,1.0,Seattle,78207.0
159,52456.45719,Yes,M,Bachelors,Blue Collar,63.01952989,Commercial,9830.0,Pickup,1.0,Seattle,78207.0
160,0.0,Yes,F,High School,Home Maker,33.17901246,Private,5200.0,SUV,6.0,Seattle,78207.0
161,20147.84803,No,F,Bachelors,Professional,50.28211327,Private,5300.0,Sports Car,7.0,Seattle,78207.0
162,5939.344181,Yes,F,High School,Student,61.04009162,Commercial,16030.0,SUV,11.0,Seattle,78207.0
163,10231.93357,Yes,F,Masters,Home Maker,32.88686876,Private,7820.0,SUV,1.0,Seattle,78207.0
164,16896.56828,No,M,High School,Blue Collar,44.47770323,Commercial,16020.0,Minivan,10.0,Seattle,78207.0
165,45733.92634,Yes,M,High School,Professional,5.0,Commercial,9870.0,Pickup,1.0,Seattle,78207.0
166,159399.0167,No,F,PhD,Doctor,31.60731719,Private,16810.0,Sports Car,1.0,Seattle,78207.0
167,62176.69857,Yes,M,High School,Blue Collar,33.91776708,Private,4110.0,Minivan,1.0,Seattle,78207.0
168,34636.86107,No,F,High School,Clerical,43.96735832,Private,18780.0,SUV,10.0,Seattle,78207.0
169,98421.21075,Yes,M,High School,Blue Collar,15.64439456,Commercial,25960.0,Panel Truck,1.0,Seattle,78207.0
170,57386.5819,Yes,M,Bachelors,Professional,50.81098881,Private,7330.0,Minivan,7.0,Seattle,78207.0
171,50025.16216952308,Yes,M,High School,Clerical,47.99327256,Private,12600.0,Minivan,1.0,Seattle,78207.0
172,91221.1218,Yes,F,Bachelors,Blue Collar,30.66670238,Commercial,15320.0,SUV,3.0,Seattle,78207.0
173,50025.16216952308,Yes,F,High School,Blue Collar,9.59220339,Commercial,9730.0,SUV,1.0,Seattle,78207.0
174,59762.84945,No,M,Bachelors,Professional,83.61764316,Commercial,6000.0,Pickup,1.0,Seattle,78207.0
175,92251.21306,No,M,Masters,Blue Collar,47.12234284,Commercial,19970.0,Van,4.0,Seattle,78207.0
176,81294.19215,Yes,F,High School,Lawyer,13.826072,Private,13930.0,Pickup,10.0,Seattle,78207.0
177,60755.19261,No,F,High School,Blue Collar,43.65991421,Private,11080.0,SUV,11.0,Seattle,78207.0
178,19469.20268,No,F,High School,Clerical,37.56222498,Private,7950.0,SUV,3.0,Seattle,78207.0
179,86551.34847,No,F,High School,Lawyer,42.52375978,Private,18990.0,SUV,3.0,Seattle,78207.0
180,50025.16216952308,Yes,F,High School,Student,44.26113732,Private,5730.0,SUV,6.0,Seattle,78207.0
181,50025.16216952308,Yes,M,Bachelors,Blue Collar,14.8370183,Commercial,17110.0,Minivan,4.0,Seattle,78207.0
182,52107.94909,Yes,M,High School,Clerical,42.33761768,Private,14670.0,Minivan,6.0,Seattle,78207.0
183,34273.08684,No,F,High School,Clerical,52.43095747,Private,11770.0,Minivan,9.0,Seattle,78207.0
184,16073.67032,No,F,High School,Clerical,34.282098449290075,Private,13420.0,SUV,10.0,Seattle,78207.0
185,23047.69123,Yes,F,High School,Blue Collar,13.02391969,Commercial,20850.0,Pickup,4.0,Seattle,78207.0
186,176848.9483,Yes,F,Bachelors,Blue Collar,37.10373467,Commercial,26470.0,SUV,4.0,Seattle,78207.0
187,52411.63059,No,F,High School,Blue Collar,5.0,Private,20110.0,Van,1.0,Columbia,44123.0
188,0.0,No,F,Masters,Home Maker,34.282098449290075,Private,12790.0,Minivan,18.0,Columbia,44123.0
189,21042.41736,Yes,F,High School,Clerical,34.282098449290075,Private,20630.0,Van,8.0,Columbia,44123.0
190,27053.11982,Yes,F,High School,Blue Collar,34.282098449290075,Private,4210.0,Minivan,5.0,Columbia,44123.0
191,21891.25119,No,M,High School,Blue Collar,34.23010402,Private,13591.978417266188,Minivan,5.0,Columbia,44123.0
192,50025.16216952308,No,F,High School,Blue Collar,44.33494856,Private,12720.0,Minivan,1.0,Columbia,44123.0
193,50025.16216952308,No,F,PhD,Home Maker,34.282098449290075,Private,17720.0,Minivan,15.0,Columbia,44123.0
194,0.0,No,M,High School,Blue Collar,23.74883926,Commercial,5800.0,Sports Car,1.0,Columbia,44123.0
195,50025.16216952308,No,F,High School,Blue Collar,5.0,Commercial,17380.0,Van,1.0,Columbia,44123.0
196,22020.81938,Yes,F,High School,Clerical,10.15303444,Private,14360.0,SUV,1.0,Columbia,44123.0
197,18774.63587,No,M,Masters,Home Maker,68.01864748,Private,9080.0,Sports Car,14.0,Columbia,44123.0
198,158.223551,No,M,High School,Student,33.48956381,Private,10510.0,Pickup,6.265017667844523,Columbia,44123.0
199,26087.5841,No,F,High School,Blue Collar,40.47509151,Private,5220.0,Pickup,6.0,Columbia,44123.0
200,13022.7003,No,M,High School,Blue Collar,36.88037153,Private,9550.0,Sports Car,8.0,Columbia,44123.0
201,72167.40438,Yes,F,Bachelors,Blue Collar,24.01186302,Commercial,13591.978417266188,Van,14.0,Columbia,44123.0
202,21533.60807,No,F,High School,Blue Collar,26.61399379,Private,24360.0,SUV,1.0,Columbia,44123.0
203,40248.26086,No,M,High School,Blue Collar,34.282098449290075,Commercial,20280.0,Van,9.0,Columbia,44123.0
204,35096.80269,No,F,High School,Clerical,21.05216018,Private,15690.0,Sports Car,1.0,Columbia,44123.0
205,50025.16216952308,No,M,High School,Clerical,25.93259739,Commercial,28000.0,Panel Truck,6.0,Columbia,44123.0
206,40923.71519,Yes,F,High School,Blue Collar,12.2923711,Commercial,9290.0,Pickup,1.0,Columbia,44123.0
207,47991.45003,No,F,Bachelors,Blue Collar,52.54720362,Private,11300.0,SUV,9.0,Columbia,44123.0
208,50025.16216952308,No,F,High School,Clerical,47.60779116,Private,5700.0,SUV,8.0,Columbia,44123.0
209,9536.124182,No,F,High School,Blue Collar,30.26271086,Private,6550.0,Pickup,1.0,Columbia,44123.0
210,50251.7624,No,M,Masters,Blue Collar,62.7835772,Commercial,18050.0,Van,1.0,Columbia,44123.0
211,14705.35906,Yes,F,High School,Home Maker,34.282098449290075,Private,11020.0,SUV,5.0,Columbia,44123.0
212,81766.51691,No,M,High School,Blue Collar,30.46871474,Commercial,15570.0,SUV,7.0,Houston,44123.0
213,71206.84229,No,M,Bachelors,Professional,18.70414666,Commercial,13591.978417266188,Panel Truck,12.0,Columbia,44123.0
214,27823.22137,No,M,Masters,Home Maker,48.96897384,Private,3950.0,SUV,6.265017667844523,Columbia,44123.0
215,14097.90673,No,M,High School,Clerical,27.11947131,Private,6710.0,Sports Car,1.0,Columbia,44123.0
216,50025.16216952308,No,M,Masters,Manager,13.13473171,Private,14780.0,SUV,12.0,Washington,11435.0
217,45038.2097,No,F,Bachelors,Professional,43.07081008,Private,17980.0,Minivan,16.0,Washington,11435.0
218,38128.37473,No,M,High School,Blue Collar,51.40620838,Commercial,23350.0,SUV,10.0,Washington,11435.0
219,93741.01937,No,F,Bachelors,Blue Collar,40.1093031,Commercial,14070.0,SUV,8.0,Washington,11435.0
220,50025.16216952308,No,M,Bachelors,Professional,10.73205036,Commercial,17560.0,Van,11.0,Washington,11435.0
221,73325.74641,No,M,High School,Blue Collar,27.60611803,Private,14650.0,SUV,1.0,Washington,11435.0
222,87415.72407,No,M,Bachelors,Blue Collar,29.74638945,Commercial,18330.0,Van,9.0,Washington,11435.0
223,15795.70898,No,M,High School,Clerical,42.180813,Private,15860.0,SUV,1.0,Washington,11435.0
224,1101.678305,No,M,High School,Student,11.42095703,Private,10900.0,Minivan,1.0,Washington,11435.0
225,63694.71868,Yes,F,High School,Manager,30.32349174,Private,14170.0,SUV,12.0,Washington,11435.0
226,50025.16216952308,No,M,High School,Blue Collar,36.46701103,Commercial,11030.0,Pickup,4.0,Washington,11435.0
227,12236.10714,No,F,High School,Home Maker,66.19076796,Private,16320.0,SUV,8.0,Washington,11435.0
228,62486.2025,No,F,Bachelors,Professional,57.3583139,Commercial,20690.0,Van,4.0,Washington,11435.0
229,45827.67153,Yes,F,High School,Blue Collar,34.282098449290075,Commercial,16420.0,Minivan,10.0,Washington,11435.0
230,152059.8036,Yes,F,PhD,Manager,34.46872349,Private,33380.0,SUV,6.265017667844523,Washington,11435.0
231,23953.42563,Yes,F,High School,Clerical,38.84084401,Private,7200.0,Sports Car,8.0,Washington,11435.0
232,81024.32636,No,M,Masters,Blue Collar,30.8055906,Commercial,21480.0,Van,17.0,Washington,11435.0
233,28853.09312,No,M,High School,Clerical,18.85100263,Private,4390.0,SUV,1.0,Washington,11435.0
234,86267.50581,No,M,Bachelors,Blue Collar,48.06235447,Commercial,34310.0,Panel Truck,12.0,Washington,11435.0
235,58530.20573,No,M,Bachelors,Blue Collar,21.47224067,Commercial,16480.0,Sports Car,1.0,Washington,11435.0
236,148442.6402,Yes,F,Masters,Lawyer,40.11941984,Private,18500.0,Sports Car,11.0,Washington,11435.0
237,61219.91962,No,M,High School,Blue Collar,45.5379056,Private,13591.978417266188,SUV,1.0,Washington,11435.0
238,0.0,Yes,F,High School,Student,34.282098449290075,Private,16010.0,SUV,1.0,Washington,11435.0
239,50025.16216952308,No,F,Masters,Lawyer,8.760570444,Private,13591.978417266188,SUV,20.0,Washington,11435.0
240,82761.8404,No,M,Bachelors,Manager,34.83950603,Private,13591.978417266188,Minivan,4.0,Washington,11435.0
241,204667.5897,Yes,F,Masters,Blue Collar,31.51556079,Commercial,21970.0,Van,6.265017667844523,Houston,11435.0
242,0.0,No,M,High School,Home Maker,22.3222614,Private,13591.978417266188,SUV,10.0,Washington,11435.0
243,20554.56402,No,M,High School,Clerical,25.91614866,Private,7760.0,SUV,11.0,Washington,11435.0
244,44437.96893,No,F,High School,Blue Collar,43.33811443,Private,13591.978417266188,SUV,1.0,Washington,11435.0
