CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,VALIDITY_STARTDATE,VALIDITY_ENDDATE,LATITUDE,LONGITUDE,count,CITY_null,POSTALCODE_null,STREET_null,BUILDING_null,COUNTRY_null,REGION_null,ADDRESSTYPE_null,VALIDITY_STARTDATE_null,VALIDITY_ENDDATE_null,LATITUDE_null,LONGITUDE_null,count_null,CITY_count,POSTALCODE_count,STREET_count,BUILDING_count,COUNTRY_count,REGION_count,ADDRESSTYPE_count,VALIDITY_STARTDATE_count,VALIDITY_ENDDATE_count,LATITUDE_count,LONGITUDE_count,CITY_null_count,POSTALCODE_null_count,STREET_null_count,BUILDING_null_count,COUNTRY_null_count,REGION_null_count,ADDRESSTYPE_null_count,VALIDITY_STARTDATE_null_count,VALIDITY_ENDDATE_null_count,LATITUDE_null_count,LONGITUDE_null_count,count_null_count
Kitoba,4605,Raglan Street,5.0,AU,APJ,2.0,20000101,99991231,-11.665128374999991,151.859836,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meadow Heights,3048,Creedon Street,11.0,AU,APJ,2.0,20000101,99991231,-11.665128374999991,144.923051,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kununurra,6743,Darwinia Loop,11.0,AU,APJ,2.0,20000101,99991231,-11.665128374999991,128.746775,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Canberra,2601,Quayside Vista,18.0,AU,APJ,2.0,20000101,99991231,-11.665128374999991,149.126715,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Canberra,2601,Quayside Vista,95.0,AU,APJ,2.0,20000101,99991231,-11.665128374999991,149.124245,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,400092,Rahul Enclave,105.0,IN,APJ,2.0,20000101,99991231,19.31394,72.857565,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hyderabad,400092,Nampally,43.0,IN,APJ,2.0,20000101,99991231,17.385758,78.467547,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,400017,Rewa Fort Colony,15.0,IN,APJ,2.0,20000101,99991231,19.046575,72.864262,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,400012,Ambedkar Road,10.0,IN,APJ,2.0,20000101,99991231,19.073197,72.826831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delhi,110005,Faiz Road,93.0,IN,APJ,2.0,20000101,99991231,28.650563,77.200575,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jebel Ali Free Zone,18673,Box No. 18673,89.5,DU,EMEA,2.0,20000101,99991231,25.006517,55.065244,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dubai,39388,Box No. 39388,89.5,DU,EMEA,2.0,20000101,99991231,25.013792,55.131876,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dubai,92064,Box No. 92064,89.5,DU,EMEA,2.0,20000101,99991231,24.960345,55.124104,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dubai,30134,Box No. 30134,89.5,DU,EMEA,2.0,20000101,99991231,24.956728,55.120386,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jebel Ali Free Zone,16939,Box No. 16939,89.5,DU,EMEA,2.0,20000101,99991231,24.963277,55.053726,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Borden,S4P 3Y2,St. John Street,2661.75,CA,AMER,2.0,20000101,99991231,47.595469,-52.703448,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooksville,L5A 1V9,Heatherleigh,2661.75,CA,AMER,2.0,20000101,99991231,43.570089,-79.609911,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iroquois,K0E 1K0,Elgin Street,1008.0,CA,AMER,2.0,20000101,99991231,44.845124,-75.31828,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Schefferville,J0C 1G0,rue des Églises Est,2273.0,CA,AMER,2.0,20000101,99991231,54.809261,-66.815519,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Toronto,M5H 1P6,Adelaide St,1483.0,CA,AMER,2.0,20000101,99991231,43.647763,-79.391022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chelles,77500,rue Ernest Renan,21.0,FR,EMEA,2.0,20000101,99991231,48.878471,2.58987,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laon,02000,Place Napoléon,55.0,FR,EMEA,2.0,20000101,99991231,49.553186,3.627835,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Besanon,25000, rue Jean Vilar,73.0,FR,EMEA,2.0,20000101,99991231,47.242859,6.035751,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Athis-Mons,91200,rue de Lille,54.0,FR,EMEA,2.0,20000101,99991231,48.705235,2.375049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paris,75006,rue Nationale,114.0,FR,EMEA,2.0,20000101,99991231,48.827364,2.366021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burr Ridge,60527,Fraggle Drive,996.0,US,AMER,1.0,20000101,99991231,41.74849,-87.918277,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Floß,92683,Borstelmannsweg,57.0,DE,EMEA,1.0,20000101,99991231,53.550141,10.052733,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High Halden,TN26 7GJ,Nenthead Road,126.0,GB,EMEA,1.0,20000101,99991231,51.101237,0.698829,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sleepy Hollow,2483,Chester Street,48.0,AU,APJ,1.0,20000101,99991231,-11.665128374999991,153.524102,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,400015,T.k.indui Estate,11.0,IN,APJ,1.0,20000101,99991231,19.175001,72.850043,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dubai,89610,Box No. 89610,89.5,DU,EMEA,1.0,20000101,99991231,24.968781,55.129116,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Annaheim,S4P 3Y2,St. John Street,2661.75,CA,AMER,1.0,20000101,99991231,52.319432,-104.820274,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strasbourg,67100,rue Descartes,23.0,FR,EMEA,1.0,20000101,99991231,48.578824,7.762616,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San Luis Obispo,93401,Par Drive,1378.0,US,AMER,1.0,20000101,99991231,35.284387,-120.659734,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jersey City,07305,Lakewood Drive,285.0,US,AMER,1.0,20000101,99991231,40.816042,-74.188869,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wingate,79566,Frederick Street,728.0,US,AMER,1.0,20000101,99991231,39.418878,-77.409172,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Toronto,M2J 3T7,Victoria Park Ave,2523.0,CA,AMER,1.0,20000101,99991231,43.748615,-79.311992,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Toronto,M1S 1T4,Sheppard Ave,1122.0,CA,AMER,1.0,20000101,99991231,43.74748,-79.482548,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Toronto,P3E 4N2,Paris St,2661.75,CA,AMER,1.0,20000101,99991231,43.609163,-79.645953,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
